"lipid_class","p_value","cor"
"CER",0.00138801134963622,0.488369148275947
"DG",0.954605769464695,-0.0106617105975435
"FA",0.0128665616836345,0.405133872553472
"HEXCER",0.122533749462621,0.317046474577281
"LPC",0.157527737520443,-0.175983174193458
"LPE",0.318875709392978,-0.2124720543417
"PC",0.695971839752961,-0.0329576868614676
"PE",0.000266512103623349,0.369577797128478
"PI",0.167831739963921,-0.284668310945857
"SM",0.911086859923711,-0.013796853453335
"ST",0.0130301319317566,0.643484207542006
"TG",0.347692072701506,0.0626131005269063
