"lipid","log2FC","neg_log10_pvalue","lipid_class"
"CER(32:1;O2)",0.10881127006781,0.657116652118242,"non-sig"
"CER(33:1;O2)",-0.0184080199416055,0.0361239942155287,"non-sig"
"CER(34:0;O2)",0.285395246384941,2.80688529350524,"CER"
"CER(34:0;O3)",-0.536493424684122,0.767109902330794,"non-sig"
"CER(34:1;O2)",0.939681191419334,16.5779939356869,"CER"
"CER(34:2;O2)",0.366773702899478,4.6368157020089,"CER"
"CER(36:1;O2)",1.01074211255654,13.0552797182576,"CER"
"CER(37:1;O2)",0.413588912544065,5.08408504146099,"CER"
"CER(38:0;O2)",-0.274853200914176,1.25072381554588,"non-sig"
"CER(38:0;O3)",0.469261037282149,1.44990275328721,"CER"
"CER(38:1;O2)",0.0522802183508433,0.173245027430998,"non-sig"
"CER(39:0;O2)",-0.567797386665479,3.88654438195859,"CER"
"CER(39:1;O2)",-0.516925552154406,3.15685969230053,"CER"
"CER(40:0;O2)",-1.15272701070995,11.6554155983168,"CER"
"CER(40:0;O3)",-0.234533665743065,1.43409721749998,"CER"
"CER(40:1;O2)",-0.252182929102867,1.848347299762,"CER"
"CER(40:2;O2)",-0.00308367687306384,0.0100113811469037,"non-sig"
"CER(40:3;O2)",0.188872524953977,0.638143967097151,"non-sig"
"CER(41:0;O2)",-1.09770563079032,10.0988812377294,"CER"
"CER(41:0;O3)",-0.27039429417604,1.14678753058885,"non-sig"
"CER(41:1;O2)",-0.572741879820913,5.85132812020793,"CER"
"CER(41:1;O3)",0.364696084350606,2.48018960230281,"CER"
"CER(41:2;O2)",-0.433434952380847,3.45294010118387,"CER"
"CER(42:0;O2)",-1.36563010821259,13.1055956619698,"CER"
"CER(42:0;O3)",-0.496091272191848,3.94754147455003,"CER"
"CER(42:1;O2)",-0.690672019269442,7.67239680390434,"CER"
"CER(42:1;O3)",-0.124520986414426,0.323515718229646,"non-sig"
"CER(42:2;O2)",0.146926885762553,0.961664372762099,"non-sig"
"CER(42:2;O3)",-0.0500179067356166,0.145097072791226,"non-sig"
"CER(42:3;O2)",0.449791679101144,4.87934342701206,"CER"
"CER(43:0;O2)",-0.725846723583093,8.72909064387401,"CER"
"CER(43:0;O3)",-0.265323999106545,1.26954626567315,"non-sig"
"CER(43:1;O2)",-0.0806584290631036,1.36466621790521,"CER"
"CER(43:2;O2)",-0.381904710536147,2.88519536376128,"CER"
"CER(44:0;O2)",-0.867285364400527,7.13573493654831,"CER"
"CER(44:0;O3)",0.0876774667597063,0.0779644142361671,"non-sig"
"CER(44:1;O2)",-1.10142541414364,12.3220605262872,"CER"
"CER(44:2;O2)",-0.253095290740807,1.96671599917225,"CER"
"CER(46:0;O2)",-0.191605535030877,0.43522050220063,"non-sig"
"CER(46:0;O3)",-0.184246737796109,0.0823091824226192,"non-sig"
"DG(34:0)",-0.154313068086019,0.240790417139278,"non-sig"
"DG(34:1)",0.251701923561261,0.842825329330174,"non-sig"
"DG(34:2)",0.271028472126366,1.02868087914675,"non-sig"
"DG(34:3)",-0.302410942501794,1.01103355380859,"non-sig"
"DG(34:4)",-0.800840245697269,3.43731828016889,"DG"
"DG(35:2)",-0.160577899598416,0.404194846234605,"non-sig"
"DG(36:1)",0.149930585478624,0.342004408551591,"non-sig"
"DG(36:2)",0.191303591396881,0.696079852927581,"non-sig"
"DG(36:3)",0.310454101438768,1.41636903907512,"DG"
"DG(36:4)",0.306498546898811,1.05367570521316,"non-sig"
"DG(36:5)",-0.320547060984935,0.913415793278038,"non-sig"
"DG(38:2)",0.00857462746727015,0.0154641198014439,"non-sig"
"DG(38:3)",0.0607028486311709,0.157570223313307,"non-sig"
"DG(38:4)",0.0451048534353358,0.103108725336867,"non-sig"
"DG(38:5)",0.186873792409236,0.602672086282285,"non-sig"
"DG(38:6)",0.172789242505647,0.45739599654273,"non-sig"
"DG(38:7)",-0.20492279095935,0.365297911732953,"non-sig"
"DG(40:5)",0.217746775143987,0.626426442332853,"non-sig"
"DG(40:6)",0.239583320770271,0.729420602123849,"non-sig"
"DG(40:7)",0.364663545147692,1.0422781594951,"non-sig"
"DG(40:8)",0.473542504894907,1.46094910406121,"DG"
"DG(42:10)",0.199475377812318,0.327927329698632,"non-sig"
"DG(42:8)",-0.253170592182338,0.893283575983237,"non-sig"
"DG(44:12)",-0.37479830789313,0.326339629744898,"non-sig"
"DG(O-34:0)",-0.673352252767146,2.1040497062659,"DG"
"DG(O-36:0)",-0.580681773886058,3.60486775629079,"DG"
"DG(O-36:1)",-0.359900980766572,0.85311309948822,"non-sig"
"DG(O-38:1)",-0.240565702215845,0.769611452452771,"non-sig"
"DG(O-40:3)",0.0910466506348137,0.39118086819572,"non-sig"
"DG(O-42:2)",-0.0975002628439783,0.211518581991347,"non-sig"
"DG(O-42:3)",-0.293852115900247,0.882804419045913,"non-sig"
"FA13:1",-0.0351620069542564,0.12956262227246,"non-sig"
"FA14:0",-0.0218645517073446,0.0475267960036404,"non-sig"
"FA14:1",-0.432275285571623,2.78199252940426,"FA"
"FA15:0",-0.138198357358937,0.352395574901318,"non-sig"
"FA15:1",-0.127052558713259,0.938198779742475,"non-sig"
"FA16:0",0.124571317951055,0.633606713469062,"non-sig"
"FA16:1",0.622186512311382,5.35387941191792,"FA"
"FA17:0",0.392557828655898,2.51001709833168,"FA"
"FA17:1",0.163933389860352,1.28288104233305,"non-sig"
"FA18:0",0.224201823482409,2.1801198520826,"FA"
"FA18:1",0.687468092701292,11.1140930706377,"FA"
"FA18:2",0.716816561282518,5.68944943796733,"FA"
"FA18:3",-0.0786464649948334,0.0709921267500791,"non-sig"
"FA19:0",0.18166718441079,2.23255205858479,"FA"
"FA19:1",0.182567557590711,1.44480986311686,"FA"
"FA20:0",-0.476007441315742,1.88083005377231,"FA"
"FA20:1",0.135673329942554,1.05183619745197,"non-sig"
"FA20:2",0.0975759803584402,0.485729208331048,"non-sig"
"FA20:3",-0.126120813787285,0.224048767340317,"non-sig"
"FA20:4",-0.0474874321390209,0.137986597417292,"non-sig"
"FA20:5",0.195580558217287,0.978959473639586,"non-sig"
"FA21:0",0.382611567161287,2.61892022235396,"FA"
"FA21:1",-0.239479175305943,0.704623450077943,"non-sig"
"FA22:0",0.26580373885607,0.643338210348384,"non-sig"
"FA22:1",0.0552780062458745,0.320582007219845,"non-sig"
"FA22:3",-0.0970152061436556,0.353056445314186,"non-sig"
"FA22:4",0.0661794317661552,0.211518581991347,"non-sig"
