"lipid","pearson_r","p_value","lipid_class"
"PC(36:5)",-0.240084608476072,0.00177737708086302,"PC"
"PC(38:2)",-0.26988950989535,0.000419932347060546,"PC"
"PC(38:3)",-0.271575575674019,0.000385042821133319,"PC"
"PC(40:1)",-0.214674625867389,0.00533748969745616,"PC"
"PC(40:5)",-0.215675606560738,0.00512244989499489,"PC"
"PC(42:5)",-0.244299206848877,0.00146423649189879,"PC"
"SM(32:2;O2)",-0.264407504680682,0.000554609184486785,"SM"
"SM(33:1;O2)",-0.331522244098181,1.20630207856549e-05,"SM"
"SM(40:1;O2)",-0.294052696563896,0.000114747979421603,"SM"
"SM(40:2;O2)",-0.385005497131453,2.78516554840059e-07,"SM"
"SM(41:1;O2)",-0.32409551644321,1.93136360988628e-05,"SM"
"SM(42:1;O2)",-0.309988902189636,4.56726608287218e-05,"SM"
"ST(18:2)",-0.453851202718303,7.2806471719338e-10,"ST"
"ST(20:4)",-0.386721070962013,2.43960452839703e-07,"ST"
