"lipid_name","log_2_foldchange","neg_log10_p_value","lipid_class"
"Cer(33:1)",-1.76301392721343,2.20971483596676,"CER"
"Cer(36:2)",-1.92242596678735,2.08301995267962,"CER"
"Cer(42:2)",-2.86026531151768,1.97469413473523,"CER"
"Cer(41:2)",-2.86372530851645,1.89962945488244,"CER"
"Cer(32:1)",-2.23655072965633,1.88272870434424,"CER"
"DG(36:2)",-1.7487587576965,2.9100948885606,"DG"
"DG(38:2)",-1.76440053972503,2.23882418684427,"DG"
"DG(34:1)",-1.3641048997774,1.60730304674033,"DG"
"DG(36:3)",-1.45381433188355,1.50584540598156,"DG"
"DG(40:6)",-1.23742056061268,1.40230481407449,"DG"
"FA(22:5)",-0.657676501859854,3.32513885926219,"FA"
"FA(22:3)",-1.06161641005612,3.24412514432751,"FA"
"FA(18:1)",-0.802161796714937,3.17134010346468,"FA"
"FA(19:1)",-1.09845750443765,3.09745322068601,"FA"
"FA(18:0)",-1.35165902792765,2.96657624451305,"FA"
"HexCer(36:1)",-3.30565280253201,1.74472749489669,"HEXCER"
"HexCer(32:1)",-3.3835392783636,1.48412615628832,"HEXCER"
"HexCer(40:0)",-1.97931236468553,1.44733178388781,"HEXCER"
"HexCer(41:1)",-2.00746690825784,1.44249279809434,"HEXCER"
"HexCer(36:2)",-1.84938086023948,1.43770713554353,"HEXCER"
"LPC(O-18:2)",0.862509272061526,2.42365864979421,"LPC"
"LPC(O-16:1)",1.52322993652896,2.33068311943389,"LPC"
"LPC(O-18:1)",0.654503046151451,2.2335871528876,"LPC"
"LPC(O-15:0)",0.811361565831895,1.94692155651658,"LPC"
"LPC(22:6/0:0)",-0.936489379325842,1.66756154008439,"LPC"
"LPE(18:1)",-1.06927922676623,3.52287874528034,"LPE"
"LPE(20:3)",-1.21714712544385,2.37468754903833,"LPE"
"LPE(20:5)",-0.916788426946791,1.60032627851896,"LPE"
"LPE(18:3)",-1.08540602886753,1.58838029403677,"LPE"
"LPE(18:2)",-1.01707039302673,1.39685562737982,"LPE"
"PC(34:0)",-1.52475676859666,2.66554624884907,"PC"
"PC(36:5)",-1.03675112586379,2.62160209905186,"PC"
"PC(36:1)",-1.18310121421004,2.43415218132648,"PC"
"PC(40:6)",-1.09017178324769,2.37468754903833,"PC"
"PC(40:5)",-0.782480855097425,2.32790214206428,"PC"
"PE(40:8)",1.05752277313496,1.98296666070122,"PE"
"PE(O-34:1)",-1.93335834233934,1.9100948885606,"PE"
"PE(34:1)",-0.947394573267328,1.80134291304558,"PE"
"PE(36:5)",0.645275079790313,1.78781239559604,"PE"
"PE(O-36:1)",-2.23156480632214,1.78781239559604,"PE"
"PI(38:2)",-1.3058445257898,2.18508681872493,"PI"
"PI(36:1)",-1.51668280490771,2.04963514562388,"PI"
"PI(38:4)",-1.24571646083713,1.71669877129645,"PI"
"PI(38:7)",3.50920902073613,1.59345981956604,"PI"
"PI(39:5)",1.34639644562054,1.43297363384094,"PI"
"SM(32:2)",-2.282462252856,3.17069622716898,"SM"
"SM(40:2)",-1.06539682911642,2.19791074211827,"SM"
"SM(40:1)",-1.0328924260884,2.16304326294045,"SM"
"SM(33:1)",-1.43248948006931,2.03385826726097,"SM"
"SM(39:2)",-1.82308634899331,1.93181413825384,"SM"
"CE(20:5)",-1.11726625710788,2.4089353929735,"ST"
"CE(18:2)",-0.2427955145411,2.12033079436795,"ST"
"SE(28:1/22:6)",-1.06405798443942,2.00043451177402,"ST"
"CE(20:4)",-0.387109136116123,1.88605664769316,"ST"
"CE(22:6)",-0.596914118921685,1.8153085691824,"ST"
"TG(56:4)",-1.30473351889135,2.90308998699194,"TG"
"TG(56:3)",-1.48230091335521,2.73282827159699,"TG"
"IS:(TG(48:1(d7))",0.509758863220593,2.16621562534352,"TG"
"TG(52:2)",-1.44473379110521,2.15428198203334,"TG"
"TG(58:8)",-0.602466482999464,2.014573525917,"TG"
