"lipid","signif_mouse","signif_human","overlap","T_stat_human_sepsis","T_stat_mouse_sepsis_AdipoQD_D_v_fl_fl"
"CER(32:1;O2)",TRUE,FALSE,FALSE,1.37079687397576,-4.66821754521267
"CER(33:1;O2)",TRUE,FALSE,FALSE,-0.120477651180498,-4.4418610840751
"CER(34:0;O2)",TRUE,TRUE,FALSE,3.43289251241977,-2.80448023745609
"CER(34:0;O3)",TRUE,FALSE,FALSE,-1.54040572837094,-2.9966147771316
"CER(34:1;O2)",TRUE,TRUE,FALSE,10.10618909233,-3.65204879570448
"CER(34:2;O2)",TRUE,TRUE,FALSE,4.63231539848333,-3.2886104284331
"CER(36:1;O2)",TRUE,TRUE,FALSE,8.64223226624244,-3.61072374892213
"CER(37:1;O2)",TRUE,TRUE,FALSE,4.88076849806021,-3.19193054557021
"CER(38:0;O2)",TRUE,FALSE,FALSE,-2.11549262231431,-2.62622221382514
"CER(38:0;O3)",TRUE,TRUE,FALSE,2.30744322636559,-2.75848084359392
"CER(38:1;O2)",TRUE,FALSE,FALSE,0.497002579399384,-3.2513518140713
"CER(39:1;O2)",TRUE,TRUE,TRUE,-3.78288504865148,-2.98343381445861
"CER(40:0;O2)",TRUE,TRUE,TRUE,-9.49476592011658,-2.7428537187376
"CER(40:0;O3)",TRUE,TRUE,TRUE,-2.29636915794058,-2.61787723905273
"CER(40:1;O2)",TRUE,TRUE,TRUE,-2.69159651516137,-3.42012187792063
"CER(40:2;O2)",TRUE,FALSE,FALSE,-0.0306820445269522,-3.51279797702623
"CER(41:0;O2)",TRUE,TRUE,TRUE,-8.45561064162668,-2.78700062399305
"CER(41:0;O3)",TRUE,FALSE,FALSE,-2.00265082145249,-2.35480429633407
"CER(41:1;O2)",TRUE,TRUE,TRUE,-5.61629153850408,-3.40452642358358
"CER(41:1;O3)",FALSE,TRUE,FALSE,3.18911170945909,-1.82658206075123
"CER(41:2;O2)",TRUE,TRUE,TRUE,-4.00013885952643,-3.64325527188139
"CER(42:0;O2)",TRUE,TRUE,TRUE,-10.7871672881386,-2.61327871134975
"CER(42:0;O3)",TRUE,TRUE,TRUE,-4.37861354593401,-2.76610956584368
"CER(42:1;O2)",TRUE,TRUE,TRUE,-6.7850140318309,-3.18964494043039
"CER(42:1;O3)",TRUE,FALSE,FALSE,-0.808893380896912,-2.75672031390375
"CER(42:2;O2)",TRUE,FALSE,FALSE,1.76894037750084,-3.66380605223347
"CER(42:2;O3)",TRUE,FALSE,FALSE,-0.42888483443307,-2.94543434931786
"CER(42:3;O2)",TRUE,TRUE,FALSE,4.78076869254959,-3.36312802957774
"CER(43:0;O2)",FALSE,TRUE,FALSE,-7.6569276562092,-2.0539774613633
"CER(43:1;O2)",TRUE,TRUE,TRUE,-2.25008535337906,-3.20844712587142
"CER(43:2;O2)",TRUE,TRUE,TRUE,-3.55336551915266,-3.406102554825
"CER(44:0;O3)",TRUE,FALSE,FALSE,0.239609961926987,-1.85367338779953
