"lipid","signif_mouse","signif_human"
"CER(40:0;O3)",TRUE,TRUE
"CER(41:0;O2)",TRUE,TRUE
"CER(41:2;O2)",TRUE,TRUE
"CER(42:0;O2)",TRUE,TRUE
"DG(O-34:0)",TRUE,TRUE
"HEXCER(34:1;O3)",TRUE,TRUE
"HEXCER(41:1;O2)",TRUE,TRUE
"HEXCER(43:1;O2)",TRUE,TRUE
"LPC(15:0)",TRUE,TRUE
"LPC(16:0)",TRUE,TRUE
"LPC(17:0)",TRUE,TRUE
"LPC(17:1)",TRUE,TRUE
"LPC(18:0)",TRUE,TRUE
"LPC(18:2)",TRUE,TRUE
"LPC(18:3)",TRUE,TRUE
"LPC(19:0)",TRUE,TRUE
"LPC(19:1)",TRUE,TRUE
"LPC(20:0)",TRUE,TRUE
"LPC(20:1)",TRUE,TRUE
"LPC(20:2)",TRUE,TRUE
"LPC(20:3)",TRUE,TRUE
"LPC(20:4)",TRUE,TRUE
"LPC(20:5)",TRUE,TRUE
"LPC(21:0)",TRUE,TRUE
"LPC(22:1)",TRUE,TRUE
"LPC(22:2)",TRUE,TRUE
"LPC(22:3)",TRUE,TRUE
"LPC(22:4)",TRUE,TRUE
"LPC(22:5)",TRUE,TRUE
"LPC(24:1)",TRUE,TRUE
"LPC(24:5)",TRUE,TRUE
"LPC(24:6)",TRUE,TRUE
"LPC(26:4)",TRUE,TRUE
"LPC(O-20:0)",TRUE,TRUE
"LPC(O-22:1)",TRUE,TRUE
"LPC(O-22:2)",TRUE,TRUE
"LPE(18:2)",TRUE,TRUE
"LPE(20:1)",TRUE,TRUE
"PC(35:0)",TRUE,TRUE
"PC(36:0)",TRUE,TRUE
"PC(37:1)",TRUE,TRUE
"PC(37:2)",TRUE,TRUE
"PC(38:1)",TRUE,TRUE
"PC(38:2)",TRUE,TRUE
"PC(40:2)",TRUE,TRUE
"PC(40:3)",TRUE,TRUE
"PC(42:3)",TRUE,TRUE
"PC(O-32:2)",TRUE,TRUE
"PC(O-33:2)",TRUE,TRUE
"PC(O-34:3)",TRUE,TRUE
"PC(O-34:4)",TRUE,TRUE
"PC(O-35:4)",TRUE,TRUE
"PC(O-36:0)",TRUE,TRUE
"PC(O-38:0)",TRUE,TRUE
"PC(O-38:4)",TRUE,TRUE
"PC(O-40:1)",TRUE,TRUE
"PC(O-40:2)",TRUE,TRUE
"PC(O-40:3)",TRUE,TRUE
"PC(O-41:4)",TRUE,TRUE
"PC(O-42:3)",TRUE,TRUE
