lipid,pearson_r,p_value,lipid_class,label
CER(32:1;O2),0.058796681,0.450388862,CER,FALSE
CER(33:1;O2),-0.164996405,0.033102735,CER,FALSE
CER(34:0;O2),0.178763155,0.020809199,CER,FALSE
CER(34:0;O3),-0.085111076,0.274129549,CER,FALSE
CER(34:1;O2),0.162782717,0.03556587,CER,FALSE
CER(34:2;O2),0.188717449,0.014588466,CER,FALSE
CER(36:1;O2),0.066338767,0.394333108,CER,FALSE
CER(37:1;O2),0.058732922,0.450881043,CER,FALSE
CER(38:0;O2),0.107074827,0.168425193,CER,FALSE
CER(38:0;O3),0.026341905,0.73542779,CER,FALSE
CER(38:1;O2),0.033586174,0.666547877,CER,FALSE
CER(39:0;O2),-0.05248096,0.500582243,CER,FALSE
CER(39:1;O2),0.072219711,0.353674098,CER,FALSE
CER(40:0;O2),-0.121601056,0.11747882,CER,FALSE
CER(40:0;O3),-0.02523892,0.746119317,CER,FALSE
CER(40:1;O2),-0.036512678,0.639455643,CER,FALSE
CER(40:2;O2),0.132895168,0.086880571,CER,FALSE
CER(40:3;O2),0.213386021,0.005626197,CER,FALSE
CER(41:0;O2),-0.073268098,0.346711856,CER,FALSE
CER(41:0;O3),-0.109554142,0.158727638,CER,FALSE
CER(41:1;O2),-0.149597717,0.053658808,CER,FALSE
CER(41:1;O3),0.039856439,0.609075611,CER,FALSE
CER(41:2;O2),-0.007727586,0.92104789,CER,TRUE
CER(42:0;O2),-0.173025632,0.025346367,CER,FALSE
CER(42:0;O3),-0.126443322,0.103466171,CER,FALSE
CER(42:1;O2),-0.192811944,0.012544856,CER,FALSE
CER(42:1;O3),-0.116120086,0.135073369,CER,FALSE
CER(42:2;O2),-0.014892982,0.848506175,CER,FALSE
CER(42:2;O3),-0.144389827,0.062648102,CER,FALSE
CER(42:3;O2),0.142673853,0.065867345,CER,FALSE
CER(43:0;O2),-0.154536742,0.04614655,CER,FALSE
CER(43:0;O3),-0.05083086,0.514164055,CER,FALSE
CER(43:1;O2),0.002538401,0.974027826,CER,FALSE
CER(43:2;O2),-0.152813446,0.048661283,CER,FALSE
CER(44:0;O2),-0.042324445,0.587069422,CER,FALSE
CER(44:0;O3),-0.08714339,0.26279297,CER,FALSE
CER(44:1;O2),-0.239283639,0.001843374,CER,FALSE
CER(44:2;O2),-0.271171777,0.000393145,CER,FALSE
CER(46:0;O2),0.00746471,0.923725408,CER,FALSE
CER(46:0;O3),-0.105445913,0.175032143,CER,FALSE
DG(34:0),0.117407801,0.13076849,DG,FALSE
DG(34:1),0.063158012,0.417445473,DG,FALSE
DG(34:2),0.116817188,0.132729655,DG,FALSE
DG(34:3),0.103124076,0.18477814,DG,FALSE
DG(34:4),0.131112532,0.09123478,DG,FALSE
DG(35:2),0.092280629,0.235581145,DG,FALSE
DG(36:1),0.097566092,0.209712399,DG,FALSE
DG(36:2),0.01748429,0.822549638,DG,FALSE
DG(36:3),0.08332218,0.284378497,DG,FALSE
DG(36:4),0.192594965,0.01264649,DG,FALSE
DG(36:5),0.176699153,0.022353312,DG,FALSE
DG(38:2),0.117978549,0.128894522,DG,FALSE
DG(38:3),0.1457521,0.060185222,DG,FALSE
DG(38:4),0.080296617,0.302290546,DG,FALSE
DG(38:5),0.054555391,0.483779019,DG,FALSE
DG(38:6),0.122735098,0.114071562,DG,FALSE
DG(38:7),0.109949811,0.15721958,DG,FALSE
DG(40:5),0.096046906,0.216929625,DG,FALSE
DG(40:6),0.075826288,0.330088977,DG,FALSE
DG(40:7),0.131140684,0.091164691,DG,FALSE
DG(40:8),0.200086821,0.009526971,DG,FALSE
DG(42:10),0.167365745,0.030628233,DG,FALSE
DG(42:8),0.184493697,0.016995609,DG,FALSE
DG(44:12),0.195707006,0.011255801,DG,FALSE
DG(O-34:0),0.186450597,0.015840488,DG,FALSE
DG(O-36:0),0.076022381,0.328836235,DG,FALSE
DG(O-36:1),0.157861031,0.041601442,DG,FALSE
DG(O-38:1),0.072229604,0.353607992,DG,FALSE
DG(O-40:3),0.016234526,0.835046053,DG,FALSE
DG(O-42:2),-0.179936653,0.019973053,DG,FALSE
DG(O-42:3),0.040532332,0.603012847,DG,FALSE
FA13:1,-0.013325407,0.864289504,FA,FALSE
FA14:0,0.02360635,0.762032995,FA,FALSE
FA14:1,0.170903591,0.02722719,FA,FALSE
FA15:0,0.028307431,0.716501932,FA,FALSE
